Title,Platform(s),Genre(s)
The Elder Scrolls Online: Summerset,"PS4, XBO",MMORPG
Vampyr,"Win, PS4, XBO",Action Role-Playing
"Warhammer 40,000: Inquisitor – Martyr","Win, PS4, XBO","Action,  Hack and Slash"
Flashback: Remastered Edition,NS,Cinematic platformer
The Banner Saga 2,NS,Tactical Role-Playing
Muv-Luv,PSVita,Visual novel
Muv-Luv Alternative,PSVita,Visual novel
Sushi Striker: The Way of Sushido,"NS, 3DS",Action puzzle
Unravel Two,"Win, PS4, XBO",Puzzle-platformer
Fallout Shelter,"NS, PS4",Construction and management simulation
Fortnite Battle Royale,NS,Battle royale
Hollow Knight,NS,Metroidvania
Jurassic World Evolution,"Win, PS4, XBO",Business simulation
Paladins,NS,Third-person shooter
Super Bomberman R,"Win, PS4, XBO","Action, maze"
Nostalgic Train,Win,Walking sim
R.B.I. Baseball 18,NS,Sports
Wreckfest,Win,"Vehicular combat, racing"
Lego The Incredibles,"Win, NS, PS4, XBO",Action-adventure
The Lost Child,"NS, PS4, PSVita",Role-Playing
MUSYNX,NS,Rhythm
Vegas Party,NS,Card game
Echo VR,Oculus Rift,"VR social, VR sports"
Mario Tennis Aces,NS,Sports
New Gundam Breaker,PS4,Mech
De Blob Remastered,NS,"Platform, puzzle"
Lumines Remastered,"Win, NS, PS4, XBO",Puzzle
Nier: Automata,XBO,Action Role-Playing
Rainbow Skies,"PS4, PS3, PSVita",Role-Playing
The Awesome Adventures of Captain Spirit,"Win, PS4, XBO",Graphic adventure
Ys VIII: Lacrimosa of Dana,NS,Action Role-Playing
The Night Journey,"PS4, Win, Mac",Art game
Fighting EX Layer,PS4,Fighting
Inside,NS,Puzzle-platformer
Limbo,NS,Puzzle-platformer
MotoGP 18,NS,Racing
Next Up Hero,"PS4, XBO","Action, Dungeon Crawl"
Crash Bandicoot N. Sane Trilogy,"Win, NS, XBO",Platform
The Crew 2,"Win, PS4, XBO",Racing
Psychedelica of the Ashen Hawk,PSVita,Visual novel
Wolfenstein II: The New Colossus,NS,"First-person shooter, action-adventure"
Red Faction Guerrilla: Re-Mars-tered Edition,"Win, PS4, XBO",Third-person shooter
Runbow,NS,"Platform, racing"
Hotel Transylvania 3: Monsters Overboard,"Win, NS, PS4, XBO",Action
Shining Resonance Refrain,"Win, NS, PS4, XBO",Role-Playing
Warhammer: Vermintide 2,XBO,Action
